id,nom,prénom,date de naissance,adresse rue,adresse code postal,adresse localité,genre
124,Garcia,Ahmed,1982-07-29,4 Ancien Chemin de Château Gombert,13013.0,Marseille,M
125,Garcia,Kenza,2000-10-01,8 Rue de la Glacière,13100.0,Aix-en-Provence,F
126,Ndiaye,Armen,1965-07-16,9 Impasse du Trémount,13800.0,Istres,M
127,Girard,Salma,2000-04-29,3 Rue des Poilus,13600.0,La Ciotat,F
128,Saïdi,Mathis,1979-05-08,3 Traverse du Mont de Piété,13001.0,Marseille,M
129,Morel,Rui,1968-04-30,23 Cours Gambetta,13001.0,Marseille,M
130,Benali,Enzo,1956-11-09,11 Place Joseph Rau,13400.0,Aubagne,M
131,Traoré,Léa,1966-04-20,666 Boulevard du Roi René,13300.0,Salon-de-Provence,F
132,Giraud,Antoine,1994-06-21,20 Cours Barthélemy,13400.0,Aubagne,M
133,Rossi,Junior,1958-04-09,2 Rue Goudard,13005.0,Marseille,M
134,Rossi,Raphaël,1963-07-05,10 Rue Edmond Rostand,13700.0,Marignane,M
135,Martin,Noah,1972-05-07,12 Rue des Frères Merlo,13006.0,Marseille,M
136,Rossi,Manon,1966-08-12,33 Cours Gambetta,13001.0,Marseille,F
137,Benali,Manon,1971-08-28,15 Avenue Jean Moulin,13127.0,Vitrolles,F
138,Fernandez,Chiara,1950-03-06,1 Rue Monclar,13100.0,Aix-en-Provence,F
139,Ferreira,Antoine,2001-03-03,15 Rue Venture,13001.0,Marseille,M
140,Diop,Ibrahima,1989-11-07,43 Avenue Henri Matisse,13120.0,Gardanne,M
141,Rossi,Enzo,1948-02-15,900 Chemin de l'Aumône Vieille,13400.0,Aubagne,M
142,Girard,Lola,1973-08-14,166 Allée de la Broquette,13170.0,Les Pennes-Mirabeau,F
143,Garcia,Naïma,1999-03-22,20 Cours Gambetta,13001.0,Marseille,F
144,Gonzalez,Manon,1971-04-20,7 Rue Jean Aicard,13170.0,Les Pennes-Mirabeau,F
145,Morel,Aïcha,2000-10-30,510 Allée de la Broquette,13170.0,Les Pennes-Mirabeau,F
146,Bernard,Mamadou,1959-09-23,311 Rue Paradis,13008.0,Marseille,M
147,Dubois,Sarah,1965-09-20,1 Rue François Scaramelli,13004.0,Marseille,F
148,Diallo,Mamadou,1947-06-05,33 Cours Gambetta,13001.0,Marseille,M
149,Abdou,Noa,1989-04-02,34 Cours Gambetta,13001.0,Marseille,F
150,Bouzid,Tiago,1997-10-29,133 Avenue Léon Blum,13330.0,Salon-de-Provence,M
151,Giraud,Tiago,1998-07-04,255 Rue d'Endoume,13007.0,Marseille,M
152,Silva,Aïcha,1982-03-18,16 Allée de la Brigantine,13127.0,Vitrolles,F
153,Pérez,Ibrahima,1945-01-10,14 Cours Gambetta,13001.0,Marseille,M
154,Bouzid,Walid,1974-05-10,5 Rue de la Verdière,13090.0,Aix-en-Provence,M
155,Giraud,Tom,1996-03-15,26 Plage de l'Estaque,13016.0,Marseille,M
156,Garcia,Nour,1983-08-06,1 Rue François Scaramelli,13004.0,Marseille,F
157,Gonzalez,Lola,1986-03-07,10 Rue Laurent Fauchier,13100.0,Aix-en-Provence,F
158,Leroux,Kenza,1954-01-29,583 Chemin du Capitaine Guyonnet,13190.0,Allauch,F
159,Haddad,Kenza,1984-10-02,69 Cours Gambetta,13001.0,Marseille,F
160,Cohen,Raphaël,1959-11-06,92 Aéroport de Marseille-Provence,13700.0,Marignane,M
161,Dias,Junior,1978-05-18,2 Avenue de la madrague de Montredon,13008.0,Marseille,M
162,Santos,Youssef,1984-09-20,8 Avenue Elsa Triolet,13008.0,Marseille,M
163,Bouzid,Mamadou,1990-09-02,26 Plage de l'Estaque,13016.0,Marseille,M
164,Silva,João,1994-06-10,7 Boulevard Bontemps,13120.0,Gardanne,M
165,Arnaud,Mariam,1979-08-25,58 Avenue de Lattre de Tassigny,13009.0,Marseille,F
166,Ricci,Sofia,1980-07-07,1e Avenue des Cardalines,13800.0,Istres,F
167,Ndiaye,Matteo,1980-05-20,59 Cours Gambetta,13001.0,Marseille,M
168,Benali,Noah,1946-08-24,45 Boulevard Aristide Briand,13100.0,Aix-en-Provence,M
169,Ziane,Océane,1963-07-02,35 Cours Gambetta,13001.0,Marseille,F
170,Assayag,Océane,1968-01-16,42 Cours Julien,13006.0,Marseille,F
171,Attal,Léa,1967-05-16,19 Rue Gabriel Sénac de Meilhan,13001.0,Marseille,F
172,Benali,João,1988-11-25,25 Parc de Beauregard,13001.0,Aix-en-Provence,M
173,Abdou,Carmen,1987-07-17,112 Avenue de Hambourg,13008.0,Marseille,F
174,Girard,Sarah,1998-01-29,18 Rue Gabriel Sénac de Meilhan,13001.0,Marseille,F
175,Dubois,Amina,1979-10-27,16a Rue de la Grande Armée,13001.0,Marseille,F
176,Rossi,Mariam,1966-03-13,2 Allée des Poètes,13380.0,Plan-de-Cuques,F
177,Kassabian,Fahari,1994-07-28,4 Rue des Bagniers,13090.0,Aix-en-Provence,F
178,Silva,Salma,1958-07-08,324 Rue d'Endoume,13007.0,Marseille,F
179,Abdou,Miguel,1976-06-27,6 Rue Taddéi,13007.0,Marseille,M
180,Benali,Bilal,1987-12-24,16a Rue de la Grande Armée,13001.0,Marseille,M
181,Morel,David,1996-06-11,8 Rue des Ormeaux,13800.0,Istres,M
182,Dubois,Zoé,1945-03-31,424 Avenue de Mazargues,13008.0,Marseille,F
183,Garcia,Vartan,1987-11-16,100 Avenue Jules Cantini,13008.0,Marseille,M
184,Aït Ali,Maria,1998-02-23,102 Rue d'Endoume,13007.0,Marseille,F
185,Diallo,Lucie,1945-04-14,10 Cours Gambetta,13001.0,Marseille,F
186,Fabre,Miguel,1957-02-03,158 Boulevard de Sainte-Marguerite,13009.0,Marseille,M
187,Bonnet,Fatima,1989-06-04,11 Rue Rouvière,13001.0,Marseille,F
188,Giraud,Théo,1976-10-02,199 Rue d'Endoume,13007.0,Marseille,M
189,Alvarez,David,1944-11-20,35 Rue Pavillon,13001.0,Marseille,M
190,Mokrani,Walid,1993-02-22,48 Rue des Augures,13300.0,Salon-de-Provence,M
191,Assayag,Ilyes,1945-04-29,45 Chemin du Capitaine Guyonnet,13190.0,Allauch,M
192,Dias,Tiago,1966-09-05,14 Cours Gambetta,13001.0,Marseille,M
193,Demir,Kenza,1970-09-29,255 Avenue du Prado,13008.0,Marseille,F
194,Cohen,Luca,1973-09-15,323 Avenue de Mazargues,13008.0,Marseille,M
195,Diop,Zoé,1946-09-01,67 Cours Gambetta,13001.0,Marseille,F
196,Morel,Soumaya,1948-01-04,1 Traverse du Mont de Piété,13001.0,Marseille,F
197,Haddad,Naïma,1975-03-14,13 Quai Marceau,13500.0,Martigues,F
198,Alvarez,Camille,1981-04-04,33 Rue Saint-Ferréol,13001.0,Marseille,F
199,Arnaud,Mamadou,1971-07-06,19 Avenue Jean Moulin,13127.0,Vitrolles,M
200,Alvarez,Salma,1944-09-05,10 Prom. du Jeune Anarcharsis,13400.0,Aubagne,F
201,Bensaïd,Antoine,1965-02-01,3295 Route Nationale 96,13400.0,Aubagne,M
202,Morel,Tiago,1969-11-18,134 Rue d'Endoume,13007.0,Marseille,M
203,Konaté,Eli,1989-03-17,50 Boulevard Aristide Briand,13100.0,Aix-en-Provence,M
204,Diop,Ava,1945-10-16,26 Chemin du Bord de Crau,13800.0,Istres,F
205,Öztürk,Hugo,1952-02-04,616 Allées de Craponne,13300.0,Salon-de-Provence,M
206,Bouzid,Meline,1966-08-13,2 Rue Saint-Michel,13005.0,Marseille,F
207,Diallo,Océane,1951-11-05,418 Avenue de Montolivet,13012.0,Marseille,F
208,Girard,Camille,1985-02-27,1 Avenue de Canto Perdrix,13500.0,Martigues,F
209,Soilih,Théo,1971-05-04,122 Chemin de Méjean,13820.0,Ensuès-la-Redonne,M
210,Bensaïd,Gabriel,1983-09-13,37 Cours Gambetta,13001.0,Marseille,M
211,Martin,Vartan,1951-10-16,69 Cours Gambetta,13001.0,Marseille,M
212,Bernard,Camille,1990-08-08,8 Rue de la Glacière,13100.0,Aix-en-Provence,F
213,Abdou,Amina,1965-02-11,19 Rue des Trois Rois,13006.0,Marseille,F
214,Diop,Mathis,1980-08-07,40 Avenue Georges Carpentier,13700.0,Marignane,M
215,Abdou,Manon,1965-05-21,124 Traverse de Notre-Dame-de-Consolation,13013.0,Marseille,F
216,Soilih,Sarah,1955-07-08,73 Cours Gambetta,13001.0,Marseille,F
217,Diop,Matteo,1960-09-15,450 chemin du Littoral,13016.0,Marseille,M
218,Ricci,Manon,1999-10-11,13 Avenue Frédéric Chevillon,13380.0,Plan-de-Cuques,F
219,Ferreira,Noah,1975-05-20,1 Rue Chabrier,13100.0,Aix-en-Provence,M
220,Benkhelifa,Javier,1955-08-13,47 Cours Gambetta,13001.0,Marseille,M
221,Rossi,Aïssatou,1993-12-04,207 Avenue Julien Fabre,13300.0,Salon-de-Provence,F
222,Ricci,Sergio,1965-11-20,11 Boulevard Jean Mermoz,13700.0,Marignane,M
223,Belkacem,Clara,1997-05-07,1 Avenue François Mitterrand,13170.0,Les Pennes-Mirabeau,F
224,Benali,Noa,1960-04-03,2 Rue des Chaudronniers,13100.0,Aix-en-Provence,F
225,Benali,Manon,1985-07-08,371 Avenue de l'Escalayolle,13820.0,Ensuès-la-Redonne,F
226,Konaté,Enzo,1950-07-17,67 Cours Gambetta,13001.0,Marseille,M
227,Rossi,Giulia,1981-05-30,1 Rue François Scaramelli,13004.0,Marseille,F
228,Rossi,Océane,1973-04-25,1 Plage de l'Estaque,13016.0,Marseille,F
229,Pérez,Noa,1974-12-01,59 Rue d'Endoume,13007.0,Marseille,F
230,Bouzid,Carmen,1947-07-13,17 Rue Gabriel Sénac de Meilhan,13001.0,Marseille,F
231,Giraud,Nassur,1944-10-12,12 Rue des Frères Merlo,13006.0,Marseille,M
232,Arnaud,Sarah,1985-10-07,10 Rue Edmond Rostand,13700.0,Marignane,F
233,Belkacem,Saïd,1998-03-13,5 Rue de Bédarrides,13100.0,Aix-en-Provence,M
234,Cohen,Armen,1976-07-15,121 D2 Boulevard Paul Claudel,13009.0,Marseille,M
235,Ferreira,Léa,1962-12-08,24 Cours Gambetta,13001.0,Marseille,F
236,Pérez,Lina,1959-12-12,25 Cours d'Estienne d'Orves,13001.0,Marseille,F
237,Giraud,Noah,1976-04-14,15 Rue Gabriel Sénac de Meilhan,13001.0,Marseille,M
238,Bonnet,Raphaël,1986-06-10,77 Cours Gambetta,13001.0,Marseille,M
239,Benali,Yasmina,1960-03-18,7 Avenue Jean Moulin,13127.0,Vitrolles,F
240,Garcia,Soumaya,1944-10-08,3 Montée du Saint-Esprit,13002.0,Marseille,F
241,Colonna,Nabil,1984-10-16,21 Cours Gambetta,13001.0,Marseille,M
242,Bonnet,Naïma,1968-09-16,19 Rue Monclar,13100.0,Aix-en-Provence,F
243,Garcia,Camille,1994-03-21,635 Avenue de Mazargues,13009.0,Marseille,F
244,Casabianca,Nour,1950-10-25,2 Rue Saint-Michel,13005.0,Marseille,F
245,Derderian,Naïma,1963-08-29,26 Rue Edmond Rostand,13700.0,Marignane,F
246,Bouzid,Matteo,1945-05-14,3 Rue Goudard,13005.0,Marseille,M
247,Bonnet,Armen,1998-05-04,1160 Avenue Guillaume Dulac,13600.0,La Ciotat,M
248,Santos,Tiago,1970-05-21,51 Allée Raoul Dufy,13120.0,Gardanne,M
249,Benkhelifa,Karim,1964-08-07,318 Avenue de Mazargues,13008.0,Marseille,M
250,Silva,Mehdi,1965-02-25,26 Cours Gambetta,13001.0,Marseille,M
251,Diallo,Sofia,1952-07-25,34 Quai du Port,13002.0,Marseille,F
252,Ferreira,Nadia,1987-01-20,8 Rue du Colonel Jean-Baptiste Pétré,13001.0,Marseille,F
253,Abdou,Moussa,1954-03-17,8 Avenue Elsa Triolet,13008.0,Marseille,M
254,Diop,Lucie,1984-06-03,2 Rue Gabriel Sénac de Meilhan,13001.0,Marseille,F
255,Morel,Bilal,1971-04-08,36 Cours Gambetta,13001.0,Marseille,M
256,Diop,Enzo,1984-09-14,21 Avenue Jean Moulin,13127.0,Vitrolles,M
257,Fabre,Manon,1980-02-17,323 Avenue de Mazargues,13008.0,Marseille,F
258,Rossi,Youssef,1984-02-12,98 Avenue Elsa Triolet,13008.0,Marseille,M
259,Saïdi,Antoine,1966-07-21,26 Chemin de Méjean,13820.0,Ensuès-la-Redonne,M
260,Traoré,Lucas,1978-09-22,60 Rue d'Endoume,13007.0,Marseille,M
261,Gonzalez,Aïssatou,1949-03-05,9 Impasse du Trémount,13800.0,Istres,F
262,Benali,Léa,1948-08-24,8 Avenue Elsa Triolet,13008.0,Marseille,F
263,Gonzalez,Noah,1964-03-11,9 Rue des Bouteilles,13100.0,Aix-en-Provence,M
264,Öztürk,Ethan,1953-01-11,18 Passage Léo Ferré,13003.0,Marseille,M
265,Bonnet,Miguel,1986-04-15,326 Avenue de Mazargues,13008.0,Marseille,M
266,Belkacem,Chiara,1961-11-02,9 Cours Gambetta,13001.0,Marseille,F
267,Bouzid,Kenza,1996-12-25,8 Avenue Elsa Triolet,13008.0,Marseille,F
268,Colonna,Lucas,1969-02-15,62 Rue d'Endoume,13007.0,Marseille,M
269,Rossi,Aïcha,1983-09-29,115 Avenue Jean Monnet,13127.0,Vitrolles,F
270,Diop,Gabriel,1946-07-04,26 Rue Saint-Michel,13006.0,Marseille,M
271,Bedrossian,Eli,1989-12-28,12 Place du Marché des Capucins,13001.0,Marseille,M
272,Demir,Mamadou,1996-04-11,151 Avenue de la Plaine Brunette,13600.0,La Ciotat,M
273,Alvarez,Théo,1973-06-21,307 Chemin de Lieutaud,13420.0,Gémenos,M
274,Dubois,Walid,1964-04-10,5 Impasse des Genêts,13180.0,Gignac-la-Nerthe,M
275,Garcia,Javier,1948-01-23,75 Cours Gambetta,13001.0,Marseille,M
276,Giraud,Nour,1969-06-20,296 Rue d'Endoume,13007.0,Marseille,F
277,Diallo,Inès,1949-08-31,24 Cours Gambetta,13001.0,Marseille,F
278,Santoni,Manon,1985-08-11,45 Cours Gambetta,13001.0,Marseille,F
279,Dias,Raphaël,1952-04-30,31 Boulevard Carnot,13120.0,Gardanne,M
280,Ferreira,Naïma,1955-10-04,26 Rue Saint-Michel,13006.0,Marseille,F
281,Girard,Océane,1998-12-25,16 Boulevard Lakanal,13400.0,Aubagne,F
282,Bouzid,Mamadou,1997-08-07,475 Chemin du Capitaine Guyonnet,13190.0,Allauch,M
283,Aït Ali,Armen,1987-02-17,334 Avenue de Mazargues,13008.0,Marseille,M
284,Bernard,Miguel,1983-01-24,1270 Avenue Jean Monnet,13127.0,Vitrolles,M
285,Santos,Kenza,1978-06-14,322 Avenue de Mazargues,13008.0,Marseille,F
286,Diop,Lucie,1996-11-25,60 Boulevard Dorgelès - Sortie Les Aygalades,13014.0,Marseille,F
287,Mchangama,Nour,1973-06-12,255 Avenue du Prado,13008.0,Marseille,F
288,Ferreira,Aïssatou,1962-01-14,334 Rue des Pâtres,13300.0,Salon-de-Provence,F
289,Chakarian,Junior,1952-01-13,122 Avenue Jean Monnet,13127.0,Vitrolles,M
290,Leroux,Ibrahima,1959-12-08,6 Route de Calas,13240.0,Septèmes-les-Vallons,M
291,Silva,Bilal,1966-03-05,19 Avenue Jean Moulin,13127.0,Vitrolles,M
292,Fernandez,Hugo,1984-05-27,11 Avenue Jean Bart,13620.0,Carry-le-Rouet,M
293,Benkhelifa,Junior,1992-11-02,26 Cours Gambetta,13001.0,Marseille,M
294,Leroux,Gabriel,1962-11-13,1 Traverse du Mont de Piété,13001.0,Marseille,M
295,Martin,Gabriel,1962-08-11,3 Cours Gambetta,13001.0,Marseille,M
296,Alvarez,David,1980-10-12,131 Rue d'Endoume,13007.0,Marseille,M
297,Benali,Élise,1978-11-06,250 au 262 (sauf 253) Résidence Castors Isabella,13240.0,Septèmes-les-Vallons,F
298,Fabre,Lucas,1988-11-19,11 Rue Marius Reynaud,13100.0,Aix-en-Provence,M
299,Benkhelifa,Giulia,1987-06-22,222 Chemin du Revers de la Sure,13190.0,Allauch,F
300,Benkhelifa,Noam,1956-02-20,36B Rue Espariat,13100.0,Aix-en-Provence,M
301,Mchangama,Bilal,1954-02-09,8 Cours Gambetta,13001.0,Marseille,M
302,Ziane,Samuel,1951-01-29,4 Rue des Bagniers,13090.0,Aix-en-Provence,M
303,Youssouf,Maya,1947-09-28,20 Cours Julien,13006.0,Marseille,F
304,Morel,Awa,1959-11-24,77 Avenue Jean Jaurès,13700.0,Marignane,F
305,Alvarez,Sergio,1954-12-04,1 Allée Philippine,13012.0,Marseille,M
306,Bouzid,Rania,1959-01-20,296 Rue d'Endoume,13007.0,Marseille,F
